Symbol,Expression Names
XLC,"P:delta P prcnt:delta P(5) prcnt"
XLY,"P:delta P prcnt:delta P(5) prcnt"
XLP,"P:delta P prcnt:delta P(5) prcnt"
XLE,"P:delta P prcnt:delta P(5) prcnt"
XLF,"P:delta P prcnt:delta P(5) prcnt"
XLV,"P:delta P prcnt:delta P(5) prcnt"
XLI,"P:delta P prcnt:delta P(5) prcnt"
XLB,"P:delta P prcnt:delta P(5) prcnt"
XLRE,"P:delta P prcnt:delta P(5) prcnt"
XLK,"P:delta P prcnt:delta P(5) prcnt"
XLU,"P:delta P prcnt:delta P(5) prcnt"
