Symbol,Expression Names
WLTW,Pos on D:Neg on D:V
AMP,Pos on D:Neg on D:V
AJG,Pos on D:Neg on D:V
FITB,Pos on D:Neg on D:V
SIVB,Pos on D:Neg on D:V
MKTX,Pos on D:Neg on D:V
NTRS,Pos on D:Neg on D:V
SYF,Pos on D:Neg on D:V
MTB,Pos on D:Neg on D:V
HIG,Pos on D:Neg on D:V
KEY,Pos on D:Neg on D:V
CFG,Pos on D:Neg on D:V
RF,Pos on D:Neg on D:V
NDAQ,Pos on D:Neg on D:V
HBAN,Pos on D:Neg on D:V
PFG,Pos on D:Neg on D:V
CINF,Pos on D:Neg on D:V
RJF,Pos on D:Neg on D:V
L,Pos on D:Neg on D:V
CBOE,Pos on D:Neg on D:V
RE,Pos on D:Neg on D:V
LNC,Pos on D:Neg on D:V
GL,Pos on D:Neg on D:V
WRB,Pos on D:Neg on D:V
CMA,Pos on D:Neg on D:V
AIZ,Pos on D:Neg on D:V
ZION,Pos on D:Neg on D:V
BEN,Pos on D:Neg on D:V
IVZ,Pos on D:Neg on D:V
PBCT,Pos on D:Neg on D:V
UNM,Pos on D:Neg on D:V
JNJ,Pos on D:Neg on D:V
UNH,Pos on D:Neg on D:V
MRK,Pos on D:Neg on D:V
PFE,Pos on D:Neg on D:V
TMO,Pos on D:Neg on D:V
ABT,Pos on D:Neg on D:V
ABBV,Pos on D:Neg on D:V
MDT,Pos on D:Neg on D:V
DHR,Pos on D:Neg on D:V
BMY,Pos on D:Neg on D:V
AMGN,Pos on D:Neg on D:V
LLY,Pos on D:Neg on D:V
CVS,Pos on D:Neg on D:V
ISRG,Pos on D:Neg on D:V
ANTM,Pos on D:Neg on D:V
SYK,Pos on D:Neg on D:V
CI,Pos on D:Neg on D:V
ZTS,Pos on D:Neg on D:V
GILD,Pos on D:Neg on D:V
BDX,Pos on D:Neg on D:V
VRTX,Pos on D:Neg on D:V
HUM,Pos on D:Neg on D:V
ILMN,Pos on D:Neg on D:V
EW,Pos on D:Neg on D:V
BSX,Pos on D:Neg on D:V
REGN,Pos on D:Neg on D:V
HCA,Pos on D:Neg on D:V
IDXX,Pos on D:Neg on D:V
BAX,Pos on D:Neg on D:V
CNC,Pos on D:Neg on D:V
ALGN,Pos on D:Neg on D:V
A,Pos on D:Neg on D:V
BIIB,Pos on D:Neg on D:V
DXCM,Pos on D:Neg on D:V
IQV,Pos on D:Neg on D:V
ALXN,Pos on D:Neg on D:V
ZBH,Pos on D:Neg on D:V
RMD,Pos on D:Neg on D:V
MCK,Pos on D:Neg on D:V
MTD,Pos on D:Neg on D:V
CERN,Pos on D:Neg on D:V
WST,Pos on D:Neg on D:V
VTRS,Pos on D:Neg on D:V
LH,Pos on D:Neg on D:V
HOLX,Pos on D:Neg on D:V
TFX,Pos on D:Neg on D:V
PKI,Pos on D:Neg on D:V
COO,Pos on D:Neg on D:V
CTLT,Pos on D:Neg on D:V
STE,Pos on D:Neg on D:V
INCY,Pos on D:Neg on D:V
DGX,Pos on D:Neg on D:V
CAH,Pos on D:Neg on D:V
ABC,Pos on D:Neg on D:V
WAT,Pos on D:Neg on D:V
VAR,Pos on D:Neg on D:V
ABMD,Pos on D:Neg on D:V
BIO,Pos on D:Neg on D:V
XRAY,Pos on D:Neg on D:V
UHS,Pos on D:Neg on D:V
HSIC,Pos on D:Neg on D:V
DVA,Pos on D:Neg on D:V
PRGO,Pos on D:Neg on D:V
HON,Pos on D:Neg on D:V
UNP,Pos on D:Neg on D:V
UPS,Pos on D:Neg on D:V
BA,Pos on D:Neg on D:V
RTX,Pos on D:Neg on D:V
CAT,Pos on D:Neg on D:V
GE,Pos on D:Neg on D:V
MMM,Pos on D:Neg on D:V
DE,Pos on D:Neg on D:V
LMT,Pos on D:Neg on D:V
CSX,Pos on D:Neg on D:V
NSC,Pos on D:Neg on D:V
ITW,Pos on D:Neg on D:V
FDX,Pos on D:Neg on D:V
ETN,Pos on D:Neg on D:V
EMR,Pos on D:Neg on D:V
WM,Pos on D:Neg on D:V
