Symbol,Name,Weight,Industry,Shares Held,SPDR Fund
SCHW,Charles Schwab Corporation,1.638286,Capital Markets,7153537,XLF
MCO,Moody's Corporation,1.34776,Capital Markets,1015939,XLF
ALL,Allstate Corporation,1.192876,Insurance,2027133,XLF
BK,Bank of New York Mellon Corporation,1.160102,Capital Markets,5251670,XLF
TRV,Travelers Companies Inc.,1.14679,Insurance,1615117,XLF
COF,Capital One Financial Corporation,1.004075,Consumer Finance,2914663,XLF
TROW,T. Rowe Price Group,1.003839,Capital Markets,1462448,XLF
MSCI,MSCI Inc. Class A,0.986565,Capital Markets,530221,XLF
WLTW,Willis Towers Watson Public Limited Company,0.953985,Insurance,804542,XLF
AFL,Aflac Incorporated,0.948233,Insurance,4593321,XLF
MET,MetLife Inc.,0.924958,Insurance,4891881,XLF
AIG,American International Group Inc.,0.844339,Insurance,5444216,XLF
PRU,Prudential Financial Inc.,0.792838,Insurance,2515666,XLF
STT,State Street Corporation,0.7901,Capital Markets,2275484,XLF
NTRS,Northern Trust Corporation,0.672432,Capital Markets,1325947,XLF
FRC,First Republic Bank,0.640743,Banks,1054722,XLF
AJG,Arthur J. Gallagher & Co.,0.640133,Insurance,1167366,XLF
MTB,M&T Bank Corporation,0.584702,Banks,825913,XLF
HIG,Hartford Financial Services Group Inc.,0.556619,Insurance,2255558,XLF
MKTX,MarketAxess Holdings Inc.,0.536497,Capital Markets,237333,XLF
AMP,Ameriprise Financial Inc.,0.528034,Capital Markets,792845,XLF
CINF,Cincinnati Financial Corporation,0.51019,Insurance,950740,XLF
FITB,Fifth Third Bancorp,0.433967,Banks,4441184,XLF
CBOE,Cboe Global Markets Inc,0.426673,Capital Markets,693718,XLF
KEY,KeyCorp,0.423991,Banks,6163950,XLF
NDAQ,Nasdaq Inc.,0.420419,Capital Markets,718073,XLF
DFS,Discover Financial Services,0.420095,Consumer Finance,1961670,XLF
L,Loews Corporation,0.382531,Insurance,1600669,XLF
RF,Regions Financial Corporation,0.374496,Banks,6036779,XLF
SIVB,SVB Financial Group,0.371414,Banks,322746,XLF
HBAN,Huntington Bancshares Incorporated,0.363542,Banks,6462980,XLF
SYF,Synchrony Financial,0.363278,Consumer Finance,3531877,XLF
RE,Everest Re Group Ltd.,0.352569,Insurance,255148,XLF
CFG,Citizens Financial Group Inc.,0.346945,Banks,2720568,XLF
RJF,Raymond James Financial Inc.,0.342132,Capital Markets,772713,XLF
WRB,W. R. Berkley Corporation,0.31635,Insurance,907933,XLF
PFG,Principal Financial Group Inc.,0.313774,Insurance,1616205,XLF
